,EVI
2000-02-29,0.23069600746418806
2000-03-31,0.23440635827828366
2000-04-30,0.2673482920880492
2000-05-31,0.2918914799209895
2000-06-30,0.3812340843849943
2000-07-31,0.3987377358942621
2000-08-31,0.44132654281231176
2000-09-30,0.48619843300936355
2000-10-31,0.4256859646512013
2000-11-30,0.36320976972744085
2000-12-31,0.3138275617153109
2001-01-31,0.27925804163437556
2001-02-28,0.24129163879384402
2001-03-31,0.24014714291173267
2001-04-30,0.25978725886237075
2001-05-31,0.279860900971493
2001-06-30,0.3902250920663282
2001-07-31,0.44998182892856287
2001-08-31,0.4711199586512168
2001-09-30,0.46524875228361157
2001-10-31,0.46355727436462196
2001-11-30,0.394046544194555
2001-12-31,0.3026716230641908
2002-01-31,0.27181395706330636
2002-02-28,0.24053131941323158
2002-03-31,0.2404452958817962
2002-04-30,0.25310126629657026
2002-05-31,0.2557421440199301
2002-06-30,0.35381555379523255
2002-07-31,0.43145013007450284
2002-08-31,0.46907443252899395
2002-09-30,0.47802284571682074
2002-10-31,0.456874092270219
2002-11-30,0.39941098874044245
2002-12-31,0.3160133103716627
2003-01-31,0.27597601343294764
2003-02-28,0.23472420293353713
2003-03-31,0.21731213276600447
2003-04-30,0.22882810418707705
2003-05-31,0.24066372348692788
2003-06-30,0.3151432900594938
2003-07-31,0.41831837690377527
2003-08-31,0.4717277204781619
2003-09-30,0.461501566688036
2003-10-31,0.48316958748775973
2003-11-30,0.3901048785804915
2003-12-31,0.3132614440403608
2004-01-31,0.2752098092113445
2004-02-29,0.24876224765000962
2004-03-31,0.2309662619160242
2004-04-30,0.2756393424949388
2004-05-31,0.29635677212880956
2004-06-30,0.403597391241448
2004-07-31,0.4678324474005364
2004-08-31,0.48134103315569843
2004-09-30,0.46833083239222917
2004-10-31,0.4285643889775449
2004-11-30,0.3418610656541743
2004-12-31,0.30626369492977634
2005-01-31,0.25267824952249507
2005-02-28,0.24333451171271994
2005-03-31,0.25727933119622864
2005-04-30,0.2658808255006724
2005-05-31,0.318281721642817
2005-06-30,0.38741254306312545
2005-07-31,0.444341324768773
2005-08-31,0.43355434948159666
2005-09-30,0.500589758983172
2005-10-31,0.4455865763481047
2005-11-30,0.4028461293997176
2005-12-31,0.3069968479804899
2006-01-31,0.26328460395352093
2006-02-28,0.2574911432899941
2006-03-31,0.24465052677939875
2006-04-30,0.2709357180929035
2006-05-31,0.2879389436523342
2006-06-30,0.4262728021392239
2006-07-31,0.45504317301601327
2006-08-31,0.45288159626687385
2006-09-30,0.47135776152414244
2006-10-31,0.48030116395773964
2006-11-30,0.38136638907003906
2006-12-31,0.3271779035282989
2007-01-31,0.27188448619557204
2007-02-28,0.23682344679710915
2007-03-31,0.24244792800906495
2007-04-30,0.2625928156522438
2007-05-31,0.264144875878634
2007-06-30,0.32767460153794925
2007-07-31,0.3751663741829875
2007-08-31,0.4440600334348549
2007-09-30,0.49807770136566354
2007-10-31,0.4773168486324068
2007-11-30,0.42684170997924287
2007-12-31,0.34539014111341476
2008-01-31,0.28791002326237336
2008-02-29,0.23878337327129048
2008-03-31,0.24603556424389555
2008-04-30,0.25281509971922966
2008-05-31,0.2873405223664902
2008-06-30,0.35691301793294017
2008-07-31,0.4369968354607039
2008-08-31,0.4452446537784236
2008-09-30,0.48348266900482295
2008-10-31,0.44144298820396066
2008-11-30,0.3613447327207681
2008-12-31,0.31287856224893446
2009-01-31,0.3011989931426545
2009-02-28,0.24910040237639136
2009-03-31,0.25408609559540307
2009-04-30,0.27362165672756333
2009-05-31,0.2859695078501284
2009-06-30,0.37415308914629236
2009-07-31,0.4353351128089029
2009-08-31,0.4256753514036859
2009-09-30,0.458894369561642
2009-10-31,0.48206825974651735
2009-11-30,0.41246310881877873
2009-12-31,0.3293628145095395
2010-01-31,0.2832770672917816
2010-02-28,0.25917345201785047
2010-03-31,0.24158295538830832
2010-04-30,0.2635951625982974
2010-05-31,0.30936816760321006
2010-06-30,0.3820189599664491
2010-07-31,0.4596111904529554
2010-08-31,0.4242888480966681
2010-09-30,0.4808861959947721
2010-10-31,0.45776375430409516
2010-11-30,0.41429493833332337
2010-12-31,0.3443515557209271
2011-01-31,0.28030311267466834
2011-02-28,0.2616626792149187
2011-03-31,0.25914973271564085
2011-04-30,0.275127007041594
2011-05-31,0.2958301525032766
2011-06-30,0.38052254746198744
2011-07-31,0.4324985243097105
2011-08-31,0.47744961355852156
2011-09-30,0.4873398957481496
2011-10-31,0.44108542465263983
2011-11-30,0.4060694475349428
2011-12-31,0.3291410837163464
2012-01-31,0.2885353952376676
2012-02-29,0.25458133795568927
2012-03-31,0.23895581961363124
2012-04-30,0.2472660096657129
2012-05-31,0.28005087140748464
2012-06-30,0.3446140992240381
2012-07-31,0.4457147142312651
2012-08-31,0.45742927299011926
2012-09-30,0.4813866409665851
2012-10-31,0.46191186741504653
2012-11-30,0.4060259130280001
2012-12-31,0.35994185321037125
2013-01-31,0.30072670998390755
2013-02-28,0.2664505413224999
2013-03-31,0.2755602903367644
2013-04-30,0.2942641284085761
2013-05-31,0.2958760364054592
2013-06-30,0.42304191896537924
2013-07-31,0.42089950646317714
2013-08-31,0.4498968114147942
2013-09-30,0.47224933574275196
2013-10-31,0.4586126706992018
2013-11-30,0.4123118790116788
2013-12-31,0.34997064000342615
2014-01-31,0.2887163466776601
2014-02-28,0.25533093837969645
2014-03-31,0.2529153194229041
2014-04-30,0.26049238200255626
2014-05-31,0.300610889333211
2014-06-30,0.41278096313305346
2014-07-31,0.4505657048373139
2014-08-31,0.47564942223601525
