,NDVI
2000-02-29,0.47419180155578206
2000-03-31,0.48463454674391937
2000-04-30,0.4504497905119584
2000-05-31,0.38723256083224217
2000-06-30,0.33432800328683565
2000-07-31,0.2867115705936617
2000-08-31,0.2595160145873172
2000-09-30,0.26206847405357026
2000-10-31,0.27959061213292513
2000-11-30,0.29892824023861364
2000-12-31,0.3673040043156395
2001-01-31,0.3583663273210994
2001-02-28,0.40647610440918674
2001-03-31,0.4725712443291741
2001-04-30,0.4572252907821826
2001-05-31,0.3829891818813398
2001-06-30,0.3252048359436356
2001-07-31,0.2657282531127366
2001-08-31,0.24388951368328582
2001-09-30,0.23486980364755225
2001-10-31,0.25099121359833065
2001-11-30,0.3580383506238136
2001-12-31,0.440497957844014
2002-01-31,0.3912982386582875
2002-02-28,0.4081983553559612
2002-03-31,0.36006232145076367
2002-04-30,0.31901590399403135
2002-05-31,0.28124830608731133
2002-06-30,0.2540561686299718
2002-07-31,0.23048579779865913
2002-08-31,0.221906451175773
2002-09-30,0.21112537318009483
2002-10-31,0.21172846534780806
2002-11-30,0.23067280444635374
2002-12-31,0.28493882811520144
2003-01-31,0.2985462451857409
2003-02-28,0.33885632296556006
2003-03-31,0.3252519865735128
2003-04-30,0.28331813579303466
2003-05-31,0.2560736169182659
2003-06-30,0.23389385147051422
2003-07-31,0.21313404337407893
2003-08-31,0.19985079252890176
2003-09-30,0.19626589905501662
2003-10-31,0.19096217561364393
2003-11-30,0.23195240698160458
2003-12-31,0.2856539855198279
2004-01-31,0.35166734631898955
2004-02-29,0.38368562985775545
2004-03-31,0.4666125753446322
2004-04-30,0.40612102352925394
2004-05-31,0.3345952789151145
2004-06-30,0.28406495756323735
2004-07-31,0.2541258912123237
2004-08-31,0.2328442002286389
2004-09-30,0.22342524335530117
2004-10-31,0.2369039512027699
2004-11-30,0.24902785764155927
2004-12-31,0.32314708897426847
2005-01-31,0.34980133857684137
2005-02-28,0.36775869335458367
2005-03-31,0.3624799512545739
2005-04-30,0.35769942772418317
2005-05-31,0.29455426822833064
2005-06-30,0.25646166601227377
2005-07-31,0.23106378008168355
2005-08-31,0.21980120166597444
2005-09-30,0.20540590198308245
2005-10-31,0.1994446193182821
2005-11-30,0.2180434273188217
2005-12-31,0.37094214060825825
2006-01-31,0.4659584982478019
2006-02-28,0.5157946307076708
2006-03-31,0.5105856348737821
2006-04-30,0.45466639734367575
2006-05-31,0.3638514143528387
2006-06-30,0.303263133769098
2006-07-31,0.27262691469504613
2006-08-31,0.25210554744552804
2006-09-30,0.24833698903075252
2006-10-31,0.27672984071243284
2006-11-30,0.3090920819495495
2006-12-31,0.37015826765852544
2007-01-31,0.4108995133646435
2007-02-28,0.3862542983483311
2007-03-31,0.34958122613350673
2007-04-30,0.3404148596390097
2007-05-31,0.29063104168317766
2007-06-30,0.2558701436731853
2007-07-31,0.23399710393985523
2007-08-31,0.22255899830283685
2007-09-30,0.2204957936406592
2007-10-31,0.23702040390692186
2007-11-30,0.2652376685771568
2007-12-31,0.3774044178750033
2008-01-31,0.4661832278593211
2008-02-29,0.4652059664724322
2008-03-31,0.4406764058278037
2008-04-30,0.38969716613051464
2008-05-31,0.3271338162292108
2008-06-30,0.28043043922836164
2008-07-31,0.24994727542471323
2008-08-31,0.23382798072121488
2008-09-30,0.22150414393323536
2008-10-31,0.2291141922777158
2008-11-30,0.3075967059079926
2008-12-31,0.35913093940476165
2009-01-31,0.40013829851707655
2009-02-28,0.4695485995205187
2009-03-31,0.4591769546715263
2009-04-30,0.36792460429257834
2009-05-31,0.3210984649407044
2009-06-30,0.285064944831733
2009-07-31,0.25789149709091
2009-08-31,0.24212491266427505
2009-09-30,0.2536990297191511
2009-10-31,0.3012225697290632
2009-11-30,0.3283989327083118
2009-12-31,0.38502982865482094
2010-01-31,0.43688511254160867
2010-02-28,0.448997338911333
2010-03-31,0.4446290675197145
2010-04-30,0.4543796455928531
2010-05-31,0.4198195998351889
2010-06-30,0.31850670043946727
2010-07-31,0.2697110819227935
2010-08-31,0.2502063647427134
2010-09-30,0.24622015782230056
2010-10-31,0.25180699348567986
2010-11-30,0.28012936460488547
2010-12-31,0.3829543018263347
2011-01-31,0.4601171880752276
2011-02-28,0.4691396657285191
2011-03-31,0.45607800784849817
2011-04-30,0.44106141183796643
2011-05-31,0.38115497901279594
2011-06-30,0.29260295642414924
2011-07-31,0.2603391532577666
2011-08-31,0.24271936492952503
2011-09-30,0.23680262456808626
2011-10-31,0.23837301119323467
2011-11-30,0.24460380199339746
2011-12-31,0.36428038834193815
2012-01-31,0.39914857790593194
2012-02-29,0.4413097482225755
2012-03-31,0.3850698293286129
2012-04-30,0.3328188023852534
2012-05-31,0.28360391612082786
2012-06-30,0.25701423140666985
2012-07-31,0.23763079293904854
2012-08-31,0.22718745571717963
2012-09-30,0.22306336856751618
2012-10-31,0.23099672317039732
2012-11-30,0.2523250556189807
2012-12-31,0.3489860391446189
2013-01-31,0.4004809804005047
2013-02-28,0.39217569836152344
2013-03-31,0.33911365690636186
2013-04-30,0.3051257634194784
2013-05-31,0.2775348093967326
2013-06-30,0.25522890694923644
2013-07-31,0.23677576630104902
2013-08-31,0.2240521128178458
2013-09-30,0.2165195791935421
2013-10-31,0.21264263871921227
2013-11-30,0.21992600898466458
2013-12-31,0.33600683892002725
2014-01-31,0.4086149683329543
2014-02-28,0.5022143273972177
2014-03-31,0.5046458556994572
2014-04-30,0.44232918218287404
2014-05-31,0.3824517595900694
2014-06-30,0.29810094659030173
2014-07-31,0.26986484112293385
2014-08-31,0.24647807887860018
