,NDVI
2000-02-29,0.27934954746019236
2000-03-31,0.27983833024203386
2000-04-30,0.3280121673527654
2000-05-31,0.3447861898713269
2000-06-30,0.3017290414836551
2000-07-31,0.28946135247728044
2000-08-31,0.2937364892754998
2000-09-30,0.29060009464812825
2000-10-31,0.3066621224711834
2000-11-30,0.359599667902671
2000-12-31,0.40084991951602933
2001-01-31,0.37489170109629283
2001-02-28,0.33377435867108296
2001-03-31,0.31385330379331283
2001-04-30,0.42275802061497414
2001-05-31,0.3870409792910266
2001-06-30,0.2966227090076587
2001-07-31,0.32181225273611314
2001-08-31,0.3078880957075749
2001-09-30,0.2890745166478482
2001-10-31,0.2835744175880076
2001-11-30,0.36655887006397014
2001-12-31,0.41635611513004
2002-01-31,0.36882523873876305
2002-02-28,0.3146180581043282
2002-03-31,0.33104177809223556
2002-04-30,0.4018614771079926
2002-05-31,0.4638341456715865
2002-06-30,0.3659864988312014
2002-07-31,0.3250360355942945
2002-08-31,0.3021719585701327
2002-09-30,0.2943739911599538
2002-10-31,0.3013984391959685
2002-11-30,0.41801325034622194
2002-12-31,0.4557610981564598
2003-01-31,0.41616143178545806
2003-02-28,0.3334932136136589
2003-03-31,0.30272191511883195
2003-04-30,0.3679047798519755
2003-05-31,0.47513955060935237
2003-06-30,0.4018857419992821
2003-07-31,0.3393129507194029
2003-08-31,0.3318443276010382
2003-09-30,0.30551903909408024
2003-10-31,0.2899542005179112
2003-11-30,0.37576180423707295
2003-12-31,0.4249686163618641
2004-01-31,0.366828816024523
2004-02-29,0.33756762049575156
2004-03-31,0.3109966350365465
2004-04-30,0.41248038166635914
2004-05-31,0.3975906362847563
2004-06-30,0.34694116983273715
2004-07-31,0.3165846975957614
2004-08-31,0.2988183040393537
2004-09-30,0.2872447183891937
2004-10-31,0.3462442379979077
2004-11-30,0.4511604952145305
2004-12-31,0.4525258517284164
2005-01-31,0.37329099076568617
2005-02-28,0.3156948412853928
2005-03-31,0.30724453984280964
2005-04-30,0.36081652122062835
2005-05-31,0.40670246298900176
2005-06-30,0.365821648064271
2005-07-31,0.32108049417429396
2005-08-31,0.3092585899277909
2005-09-30,0.2926577894894583
2005-10-31,0.29247968190319124
2005-11-30,0.3208639817626404
2005-12-31,0.3296183101903862
2006-01-31,0.28693030551821713
2006-02-28,0.2666181788734952
2006-03-31,0.3067802367773692
2006-04-30,0.4147362548351702
2006-05-31,0.40819955399634966
2006-06-30,0.338800420729745
2006-07-31,0.30595187655770273
2006-08-31,0.31117583346133443
2006-09-30,0.28797564861443636
2006-10-31,0.32554182051547814
2006-11-30,0.45854846306995245
2006-12-31,0.5642855177615356
2007-01-31,0.5006023601500795
2007-02-28,0.40302393563045147
2007-03-31,0.35002854528091387
2007-04-30,0.3881989187874594
2007-05-31,0.41936658999026705
2007-06-30,0.38519860163608644
2007-07-31,0.3564160667868087
2007-08-31,0.35467417625144837
2007-09-30,0.3450223869562534
2007-10-31,0.3459309478175515
2007-11-30,0.3880094482948966
2007-12-31,0.3993063331948122
2008-01-31,0.35477188222653055
2008-02-29,0.3274765041375287
2008-03-31,0.31609016353822694
2008-04-30,0.42174357273831736
2008-05-31,0.3955932496243001
2008-06-30,0.3422741254656251
2008-07-31,0.3133163362774207
2008-08-31,0.30647200736463603
2008-09-30,0.2977929636707193
2008-10-31,0.35748098913688475
2008-11-30,0.45120681985687394
2008-12-31,0.3819896611828498
2009-01-31,0.3097532480472392
2009-02-28,0.2901612879021353
2009-03-31,0.27337948551771174
2009-04-30,0.32167086514973686
2009-05-31,0.34732426813882633
2009-06-30,0.31290509754140816
2009-07-31,0.2873411753318029
2009-08-31,0.26710197180483974
2009-09-30,0.2595504925377412
2009-10-31,0.3009398182171973
2009-11-30,0.38997703162234226
2009-12-31,0.40585918199706406
2010-01-31,0.39923911063605244
2010-02-28,0.33747164503593047
2010-03-31,0.40615703169428247
2010-04-30,0.45250276117015853
2010-05-31,0.43639378023156794
2010-06-30,0.3541955701750043
2010-07-31,0.33407094494028783
2010-08-31,0.31536461786301984
2010-09-30,0.303019207169787
2010-10-31,0.30595768402790485
2010-11-30,0.3365767095532609
2010-12-31,0.346497353372872
2011-01-31,0.3059134411603399
2011-02-28,0.2807710801004632
2011-03-31,0.28913640272900043
2011-04-30,0.3264260534543385
2011-05-31,0.34662186437046083
2011-06-30,0.32107750274282165
2011-07-31,0.30314787116675723
2011-08-31,0.30344765238167737
2011-09-30,0.29500642689203094
2011-10-31,0.38554855082752043
2011-11-30,0.4846282929807495
2011-12-31,0.5414241573548746
2012-01-31,0.3983001410802365
2012-02-29,0.3161333670057242
2012-03-31,0.29311190554894523
2012-04-30,0.36058798076287457
2012-05-31,0.4229044433629333
2012-06-30,0.3572546223279401
2012-07-31,0.34120384570734436
2012-08-31,0.3325429172369201
2012-09-30,0.30938598814007673
2012-10-31,0.3682302872860256
2012-11-30,0.41444382800922885
2012-12-31,0.42772284459803656
2013-01-31,0.3860271385766699
2013-02-28,0.3184005070324525
2013-03-31,0.32165387665702394
2013-04-30,0.47695351286067705
2013-05-31,0.43628294691547076
2013-06-30,0.35927797388375593
2013-07-31,0.3289686032837128
2013-08-31,0.3205016217608401
2013-09-30,0.3080950520297887
2013-10-31,0.3115343463370753
2013-11-30,0.38395999700858985
2013-12-31,0.4293198035718696
2014-01-31,0.36779782388290694
2014-02-28,0.3250744838684384
2014-03-31,0.34379005578957267
2014-04-30,0.4036075405884466
2014-05-31,0.3766305644107942
2014-06-30,0.32673540192496786
2014-07-31,0.30575517183703926
2014-08-31,0.30933943877873715
