,EVI
2000-02-29,0.3988389873008324
2000-03-31,0.3515324747461469
2000-04-30,0.37506587237606714
2000-05-31,0.33524067214446474
2000-06-30,0.2742848433255809
2000-07-31,0.235455945683546
2000-08-31,0.2129516129937542
2000-09-30,0.2183206570774796
2000-10-31,0.23579362634806814
2000-11-30,0.3481614568701532
2000-12-31,0.3703414648679981
2001-01-31,0.36387405711801113
2001-02-28,0.35771350719053996
2001-03-31,0.39545773541480433
2001-04-30,0.4089576525384312
2001-05-31,0.3999453378163238
2001-06-30,0.33837603277661715
2001-07-31,0.29056377410192247
2001-08-31,0.2611986325065426
2001-09-30,0.2899367077342721
2001-10-31,0.3360557061998756
2001-11-30,0.3553074864501304
2001-12-31,0.3967103482032063
2002-01-31,0.400334288462044
2002-02-28,0.38987539003057936
2002-03-31,0.32799938312922294
2002-04-30,0.35147892273156
2002-05-31,0.42042341114877735
2002-06-30,0.33248747927461353
2002-07-31,0.27159788126303686
2002-08-31,0.2499578820231194
2002-09-30,0.25605321512548074
2002-10-31,0.23938567528051904
2002-11-30,0.3195237167182443
2002-12-31,0.39753879249718604
2003-01-31,0.42534634213934663
2003-02-28,0.4154225162351812
2003-03-31,0.4040441346699719
2003-04-30,0.3864456234716839
2003-05-31,0.39613574832040666
2003-06-30,0.3325544897177708
2003-07-31,0.265447495920373
2003-08-31,0.2509716623517497
2003-09-30,0.25716516892292696
2003-10-31,0.2893059566584184
2003-11-30,0.345716111118731
2003-12-31,0.41169968941320634
2004-01-31,0.38728439185436403
2004-02-29,0.40929725996690347
2004-03-31,0.3741502102974318
2004-04-30,0.3835327285899915
2004-05-31,0.3976790608466304
2004-06-30,0.30544129538961845
2004-07-31,0.24428494031634007
2004-08-31,0.23085011517215198
2004-09-30,0.24277223559453726
2004-10-31,0.2960464189724395
2004-11-30,0.36888554954133157
2004-12-31,0.37967554168033724
2005-01-31,0.38584131088786794
2005-02-28,0.3892349672669462
2005-03-31,0.4062643315128939
2005-04-30,0.40136006151212794
2005-05-31,0.40024150026719973
2005-06-30,0.3330608404268012
2005-07-31,0.26838611289347913
2005-08-31,0.24342304726401381
2005-09-30,0.24521058181560884
2005-10-31,0.26381933023717935
2005-11-30,0.30196157147579733
2005-12-31,0.37744934765920357
2006-01-31,0.3640997226727408
2006-02-28,0.3717497318658723
2006-03-31,0.3874001519308802
2006-04-30,0.4168477931240675
2006-05-31,0.4186748627026172
2006-06-30,0.3361003373742712
2006-07-31,0.27459688865601634
2006-08-31,0.24709617899559463
2006-09-30,0.2517496626611063
2006-10-31,0.2614857545289939
2006-11-30,0.27020631210695767
2006-12-31,0.38260452833606984
2007-01-31,0.3799329520407553
2007-02-28,0.3990835621556226
2007-03-31,0.3712150444111867
2007-04-30,0.39214254000677073
2007-05-31,0.3890570071092839
2007-06-30,0.3538649197243874
2007-07-31,0.2985434289089729
2007-08-31,0.2801345559122087
2007-09-30,0.2829475279379949
2007-10-31,0.29170511332737953
2007-11-30,0.294360367304224
2007-12-31,0.3839090698900302
2008-01-31,0.3614084124485462
2008-02-29,0.37595722937001896
2008-03-31,0.3842843453975185
2008-04-30,0.37653833719934754
2008-05-31,0.3790946306183016
2008-06-30,0.3334172932698106
2008-07-31,0.2780341005928796
2008-08-31,0.25156514573446526
2008-09-30,0.26250396495102485
2008-10-31,0.3011182635084356
2008-11-30,0.35546690181121837
2008-12-31,0.3847294602996225
2009-01-31,0.3879232592555657
2009-02-28,0.3852999907004314
2009-03-31,0.38755009202624496
2009-04-30,0.4050265153912326
2009-05-31,0.40901938248386427
2009-06-30,0.36058975704978047
2009-07-31,0.2775287801684442
2009-08-31,0.24602301617850503
2009-09-30,0.2523997338880073
2009-10-31,0.2512003897597401
2009-11-30,0.3186036360135372
2009-12-31,0.3901917392700941
2010-01-31,0.41617312930405925
2010-02-28,0.3749130624379946
2010-03-31,0.4299283386403414
2010-04-30,0.41559502873146426
2010-05-31,0.41391326000145845
2010-06-30,0.3495342866983425
2010-07-31,0.281218415883823
2010-08-31,0.248443979261618
2010-09-30,0.24459331870139528
2010-10-31,0.27176955700747196
2010-11-30,0.3248930727458038
2010-12-31,0.39296517890011184
2011-01-31,0.38662747271347087
2011-02-28,0.4003833720507675
2011-03-31,0.4216579254334067
2011-04-30,0.3915402404451042
2011-05-31,0.3902847831155395
2011-06-30,0.3431697930985984
2011-07-31,0.28810592165762594
2011-08-31,0.2622375350055967
2011-09-30,0.2650646527444472
2011-10-31,0.336689914297157
2011-11-30,0.3556129141029569
2011-12-31,0.4035835308705237
2012-01-31,0.3894476580256933
2012-02-29,0.3648594807210995
2012-03-31,0.3692360280269632
2012-04-30,0.3531095195646754
2012-05-31,0.3891139885425713
2012-06-30,0.3462436553504149
2012-07-31,0.29135359543129924
2012-08-31,0.27225998285573805
2012-09-30,0.2770620038022842
2012-10-31,0.28100982644451933
2012-11-30,0.3421676237504002
2012-12-31,0.3830619315538416
2013-01-31,0.4008033861074137
2013-02-28,0.40095081749076056
2013-03-31,0.3845977401051409
2013-04-30,0.37096807977934265
2013-05-31,0.40597609017245584
2013-06-30,0.32530627988635624
2013-07-31,0.27716470706918256
2013-08-31,0.24554670997795108
2013-09-30,0.2737348221287843
2013-10-31,0.29666357659737674
2013-11-30,0.3199941434198938
2013-12-31,0.3742897863728536
2014-01-31,0.39987399521177025
2014-02-28,0.36832991839897355
2014-03-31,0.3796681878377697
2014-04-30,0.424320678997092
2014-05-31,0.35889341612299575
2014-06-30,0.3102547748864483
2014-07-31,0.2684981933971546
2014-08-31,0.2481847808481016
