,EVI
2000-02-29,0.13769915807180552
2000-03-31,0.14277343614947585
2000-04-30,0.15145340987739137
2000-05-31,0.15352654153326578
2000-06-30,0.193951994715378
2000-07-31,0.2931795880234813
2000-08-31,0.41726639506750496
2000-09-30,0.38535175088194823
2000-10-31,0.28278939185977203
2000-11-30,0.20990988296930055
2000-12-31,0.18193609836913355
2001-01-31,0.16170367639181282
2001-02-28,0.14588135073724282
2001-03-31,0.14816465818339114
2001-04-30,0.14680253435081037
2001-05-31,0.1512115441417773
2001-06-30,0.21509861909641462
2001-07-31,0.3370654436300987
2001-08-31,0.4177607006175621
2001-09-30,0.3880536687062921
2001-10-31,0.29034756562797687
2001-11-30,0.21097791332972837
2001-12-31,0.170749201969444
2002-01-31,0.1462106275633076
2002-02-28,0.13783743997856585
2002-03-31,0.13523450770239745
2002-04-30,0.1336682506562857
2002-05-31,0.13525989241256653
2002-06-30,0.20363981212816368
2002-07-31,0.25505403542514105
2002-08-31,0.3491333677226233
2002-09-30,0.3487095407555544
2002-10-31,0.294220960679803
2002-11-30,0.2147227851260342
2002-12-31,0.16862144104431004
2003-01-31,0.14670767149471947
2003-02-28,0.13811093412356296
2003-03-31,0.1330215739867457
2003-04-30,0.132576006051482
2003-05-31,0.1332061179259598
2003-06-30,0.16873759402166202
2003-07-31,0.28415631293333526
2003-08-31,0.4149833307231878
2003-09-30,0.382350358780508
2003-10-31,0.32180975641895015
2003-11-30,0.243459726389684
2003-12-31,0.19144217218544468
2004-01-31,0.16947519929253507
2004-02-29,0.155412498911559
2004-03-31,0.14601484670971102
2004-04-30,0.15854592497863268
2004-05-31,0.16104765739133003
2004-06-30,0.21417720001853585
2004-07-31,0.31318553853597775
2004-08-31,0.43366193119796187
2004-09-30,0.38641459629258196
2004-10-31,0.24924295908547328
2004-11-30,0.1953197890150212
2004-12-31,0.1765859400988799
2005-01-31,0.14873758240870563
2005-02-28,0.1470834283048414
2005-03-31,0.15108525252300012
2005-04-30,0.14881424608870247
2005-05-31,0.1625593094211265
2005-06-30,0.2145572082714443
2005-07-31,0.3429190933440307
2005-08-31,0.44053981744601334
2005-09-30,0.4019421114424996
2005-10-31,0.30806551055511633
2005-11-30,0.23691236919810243
2005-12-31,0.1865135811105904
2006-01-31,0.16365909982588822
2006-02-28,0.15889361488097975
2006-03-31,0.1523259701943817
2006-04-30,0.15894770351844878
2006-05-31,0.1655733587394158
2006-06-30,0.2206263599338773
2006-07-31,0.3038953677342726
2006-08-31,0.412008278496034
2006-09-30,0.3798015800524263
2006-10-31,0.288130633226696
2006-11-30,0.2169199817288403
2006-12-31,0.17789977014671132
2007-01-31,0.15741296034579522
2007-02-28,0.14665152864601644
2007-03-31,0.14506279687301538
2007-04-30,0.15103294239905096
2007-05-31,0.1480934079011701
2007-06-30,0.17594141760395055
2007-07-31,0.26596801430180467
2007-08-31,0.4006081741830912
2007-09-30,0.40793466066495954
2007-10-31,0.3076200490745593
2007-11-30,0.2326588207012737
2007-12-31,0.1920680586043983
2008-01-31,0.16459394122482032
2008-02-29,0.14929526245461555
2008-03-31,0.14619255531732606
2008-04-30,0.14406633380481784
2008-05-31,0.15477225088431024
2008-06-30,0.21807169202687599
2008-07-31,0.3485626255077029
2008-08-31,0.4152210421283009
2008-09-30,0.393544240666746
2008-10-31,0.27421760098513254
2008-11-30,0.20685959295489004
2008-12-31,0.1830747877052794
2009-01-31,0.17081860258229503
2009-02-28,0.15304673850490796
2009-03-31,0.15515091363007993
2009-04-30,0.15708679919169066
2009-05-31,0.15866128114230385
2009-06-30,0.19295581678075202
2009-07-31,0.3256579980720274
2009-08-31,0.43266918495969464
2009-09-30,0.3921077843063354
2009-10-31,0.312750810431492
2009-11-30,0.24450166077831062
2009-12-31,0.19656175357591016
2010-01-31,0.1711288217007411
2010-02-28,0.16023276373454914
2010-03-31,0.15119597914861457
2010-04-30,0.1587715476092864
2010-05-31,0.16093633204872848
2010-06-30,0.20983632730189833
2010-07-31,0.3875566237486369
2010-08-31,0.4448807687359845
2010-09-30,0.4223833915941607
2010-10-31,0.32418908846861927
2010-11-30,0.24983996975073675
2010-12-31,0.2001679415934356
2011-01-31,0.17304004174803905
2011-02-28,0.1611019776737861
2011-03-31,0.15751978660688398
2011-04-30,0.16591959701803413
2011-05-31,0.17493630823808937
2011-06-30,0.2070600140270218
2011-07-31,0.2988122089123323
2011-08-31,0.40461939316190465
2011-09-30,0.39277850227693406
2011-10-31,0.28664004627856887
2011-11-30,0.23155548847988017
2011-12-31,0.18656447301810364
2012-01-31,0.16324558114420118
2012-02-29,0.15088895901150365
2012-03-31,0.14976983257288562
2012-04-30,0.15146162315130923
2012-05-31,0.16010066467616985
2012-06-30,0.1979148789904121
2012-07-31,0.31843068734662416
2012-08-31,0.4142181983532065
2012-09-30,0.4202891985013537
2012-10-31,0.31327376214689495
2012-11-30,0.23537027008419273
2012-12-31,0.20823482372129742
2013-01-31,0.17976803897848015
2013-02-28,0.16102222253868723
2013-03-31,0.1629998669358813
2013-04-30,0.16748674765497898
2013-05-31,0.1653786736326096
2013-06-30,0.21919303721563718
2013-07-31,0.28565323003878473
2013-08-31,0.42557270425104843
2013-09-30,0.40201684232369717
2013-10-31,0.3240122615038282
2013-11-30,0.23240003297870365
2013-12-31,0.19941735889364925
2014-01-31,0.17066564265570422
2014-02-28,0.15395510154440156
2014-03-31,0.152393729227204
2014-04-30,0.15600463513678647
2014-05-31,0.17053966648636532
2014-06-30,0.20302980727569767
2014-07-31,0.26019640218013795
2014-08-31,0.3788468594255794
