,EVI
2000-02-29,0.20350095798580176
2000-03-31,0.2004106073965121
2000-04-30,0.1821936593589451
2000-05-31,0.15011775649913525
2000-06-30,0.12926823291270728
2000-07-31,0.11916848482185986
2000-08-31,0.1132051636131059
2000-09-30,0.11491338146147982
2000-10-31,0.11976449197904732
2000-11-30,0.12091831693574671
2000-12-31,0.13170264306243468
2001-01-31,0.13661450267282516
2001-02-28,0.16014235347199457
2001-03-31,0.19374296693425871
2001-04-30,0.1896296193085799
2001-05-31,0.1638371561403727
2001-06-30,0.13963344018379714
2001-07-31,0.11934947542346327
2001-08-31,0.1125514379708979
2001-09-30,0.11253717614301142
2001-10-31,0.11658888826067451
2001-11-30,0.12710797370822818
2001-12-31,0.14354562263719944
2002-01-31,0.1434574509065924
2002-02-28,0.16573647823199084
2002-03-31,0.19986850672318335
2002-04-30,0.16560639566596563
2002-05-31,0.1338380277722931
2002-06-30,0.11864250316972202
2002-07-31,0.11018879071348633
2002-08-31,0.10747748322489042
2002-09-30,0.10678294932888735
2002-10-31,0.10945954876518672
2002-11-30,0.11940206866299022
2002-12-31,0.1460122602491804
2003-01-31,0.15048576421695065
2003-02-28,0.17743485487069888
2003-03-31,0.15642023646147374
2003-04-30,0.1363316891399563
2003-05-31,0.12254392482649742
2003-06-30,0.11208382208207303
2003-07-31,0.10520116914812777
2003-08-31,0.10337269204955021
2003-09-30,0.10440226135385838
2003-10-31,0.10315677472554863
2003-11-30,0.1150752103258402
2003-12-31,0.13586557506498242
2004-01-31,0.17025980241313265
2004-02-29,0.18260195840287863
2004-03-31,0.1846896924378587
2004-04-30,0.1620882912901082
2004-05-31,0.13411568933716608
2004-06-30,0.11830425108032175
2004-07-31,0.11097307852571897
2004-08-31,0.10795580971518534
2004-09-30,0.10872945432210994
2004-10-31,0.11617199417891107
2004-11-30,0.13962498106025248
2004-12-31,0.1449487894661346
2005-01-31,0.15677793846680024
2005-02-28,0.17602767634835353
2005-03-31,0.17441532039295915
2005-04-30,0.1659140154253268
2005-05-31,0.1344023406964109
2005-06-30,0.11867523042393444
2005-07-31,0.11019373923699402
2005-08-31,0.10771914886118497
2005-09-30,0.10560578374069164
2005-10-31,0.10580816066018152
2005-11-30,0.1128098537244979
2005-12-31,0.1455690436315074
2006-01-31,0.18618824245997165
2006-02-28,0.22862621096026267
2006-03-31,0.22917131924930284
2006-04-30,0.19895840799293651
2006-05-31,0.1631787396368761
2006-06-30,0.138989461262909
2006-07-31,0.12720736895794424
2006-08-31,0.12002506112157671
2006-09-30,0.12150406769428353
2006-10-31,0.1323624998603448
2006-11-30,0.15024999983948611
2006-12-31,0.1597293006711999
2007-01-31,0.16205452127646391
2007-02-28,0.16735941304014346
2007-03-31,0.16380743681447768
2007-04-30,0.14419373234060318
2007-05-31,0.12303363107205377
2007-06-30,0.11212455949836057
2007-07-31,0.1069845645223722
2007-08-31,0.10641130372787677
2007-09-30,0.10629360570687124
2007-10-31,0.1097870657647194
2007-11-30,0.11827711158083345
2007-12-31,0.13530757215308484
2008-01-31,0.15092659090975064
2008-02-29,0.2065613540979711
2008-03-31,0.23188619509992558
2008-04-30,0.19163985702941688
2008-05-31,0.1549365474922706
2008-06-30,0.1352487678354099
2008-07-31,0.123002346982208
2008-08-31,0.11893549520195758
2008-09-30,0.11739906885230005
2008-10-31,0.12353143557202594
2008-11-30,0.1461574775116146
2008-12-31,0.17875664792990292
2009-01-31,0.18028475420952716
2009-02-28,0.2203729933697444
2009-03-31,0.22314678196004673
2009-04-30,0.1819662213281319
2009-05-31,0.14882624779012532
2009-06-30,0.13063434843383365
2009-07-31,0.11930457896189509
2009-08-31,0.11419019133359679
2009-09-30,0.11659026410882857
2009-10-31,0.13322034731579033
2009-11-30,0.13726666619683275
2009-12-31,0.14783473495430322
2010-01-31,0.1895294024391082
2010-02-28,0.19921290469222408
2010-03-31,0.19171288635919176
2010-04-30,0.17226484213344462
2010-05-31,0.14626922915583912
2010-06-30,0.12367105202752257
2010-07-31,0.11394774552714976
2010-08-31,0.11123345052404185
2010-09-30,0.1123502990088133
2010-10-31,0.11535245060323653
2010-11-30,0.12608661159315396
2010-12-31,0.1738360714973679
2011-01-31,0.20532740312939485
2011-02-28,0.2390285171259045
2011-03-31,0.2285494749926549
2011-04-30,0.20635055829000037
2011-05-31,0.17440393051404465
2011-06-30,0.13762677226958486
2011-07-31,0.1257632626158156
2011-08-31,0.12119884152934834
2011-09-30,0.1286046620012689
2011-10-31,0.13716615901933568
2011-11-30,0.14429068368386777
2011-12-31,0.17464831115836715
2012-01-31,0.18619855165177135
2012-02-29,0.21357401092511363
2012-03-31,0.2068209115221215
2012-04-30,0.17806114644521645
2012-05-31,0.1482044038402529
2012-06-30,0.12859935844408388
2012-07-31,0.11736439344618815
2012-08-31,0.11346220907745144
2012-09-30,0.113527759737358
2012-10-31,0.12641352739057593
2012-11-30,0.13637466354091007
2012-12-31,0.1625053692010447
2013-01-31,0.17539932645901732
2013-02-28,0.16395288983688755
2013-03-31,0.15110424839875314
2013-04-30,0.14262429293921017
2013-05-31,0.12902807265117633
2013-06-30,0.11881160688419824
2013-07-31,0.11382295171474957
2013-08-31,0.11098961535009072
2013-09-30,0.1091752355618816
2013-10-31,0.11010343069573948
2013-11-30,0.11352993164687891
2013-12-31,0.15950668400347096
2014-01-31,0.18379158665408324
2014-02-28,0.21595262626896125
2014-03-31,0.21955516805162234
2014-04-30,0.1915513607134116
2014-05-31,0.15361112292135976
2014-06-30,0.12711979784397798
2014-07-31,0.11765657217181305
