,EVI
2000-02-29,0.13879089250276153
2000-03-31,0.13884202409757135
2000-04-30,0.1699151508998263
2000-05-31,0.2580618055590297
2000-06-30,0.2458522866654866
2000-07-31,0.25258617932830496
2000-08-31,0.28147527733078465
2000-09-30,0.28893613902971504
2000-10-31,0.29131684825670434
2000-11-30,0.2529435625000149
2000-12-31,0.21737840848354015
2001-01-31,0.17176358541225345
2001-02-28,0.1546892525022172
2001-03-31,0.16812909712262436
2001-04-30,0.21451673863642967
2001-05-31,0.24432341801384339
2001-06-30,0.20460093827121867
2001-07-31,0.2639228306383562
2001-08-31,0.30143759439623813
2001-09-30,0.288953418667713
2001-10-31,0.27479664396441866
2001-11-30,0.25357301853066827
2001-12-31,0.20110663115961047
2002-01-31,0.1703225072153137
2002-02-28,0.15589949487578997
2002-03-31,0.17442548368682387
2002-04-30,0.2192134521292775
2002-05-31,0.22851577654075927
2002-06-30,0.22226565207695087
2002-07-31,0.2516976463838141
2002-08-31,0.2919088488211494
2002-09-30,0.29617903696570913
2002-10-31,0.28036472336535
2002-11-30,0.23941064105620874
2002-12-31,0.1963758065232995
2003-01-31,0.18167952726173256
2003-02-28,0.15919114851122831
2003-03-31,0.16433467894614007
2003-04-30,0.197383578606056
2003-05-31,0.23450717316776656
2003-06-30,0.2362316547220213
2003-07-31,0.2560103887792489
2003-08-31,0.2974397598042293
2003-09-30,0.291439229415721
2003-10-31,0.2650887544090182
2003-11-30,0.23099066814957064
2003-12-31,0.20678946526763603
2004-01-31,0.17709434149765713
2004-02-29,0.16163998041120842
2004-03-31,0.1514282739537758
2004-04-30,0.21917433972028294
2004-05-31,0.22600046016831898
2004-06-30,0.22086762536267993
2004-07-31,0.24708507540827596
2004-08-31,0.28606483063969557
2004-09-30,0.2799398606775282
2004-10-31,0.26877569767077625
2004-11-30,0.2388967574975635
2004-12-31,0.20982705801025936
2005-01-31,0.16702601594060804
2005-02-28,0.15012288526491385
2005-03-31,0.16506492953719015
2005-04-30,0.1989333740860454
2005-05-31,0.25789351344601796
2005-06-30,0.25963677900708515
2005-07-31,0.2720100301830928
2005-08-31,0.3016639836463527
2005-09-30,0.28758436734846626
2005-10-31,0.2737483934860613
2005-11-30,0.23446574455781144
2005-12-31,0.18353058728180824
2006-01-31,0.15785066585388874
2006-02-28,0.14816841831642533
2006-03-31,0.16719176684418252
2006-04-30,0.229401321601706
2006-05-31,0.25234589347235525
2006-06-30,0.24570785262405104
2006-07-31,0.2510301016127928
2006-08-31,0.29121695162018085
2006-09-30,0.289429448315929
2006-10-31,0.2813837626649082
2006-11-30,0.28110557688129867
2006-12-31,0.24512726638139065
2007-01-31,0.1990070754458971
2007-02-28,0.17656120525819669
2007-03-31,0.17007255399329213
2007-04-30,0.2210055779615251
2007-05-31,0.24956998082106252
2007-06-30,0.25139720438402147
2007-07-31,0.2734899992532017
2007-08-31,0.3001594762465486
2007-09-30,0.2994189023498256
2007-10-31,0.27606552539564794
2007-11-30,0.2415873039134679
2007-12-31,0.18845744906891715
2008-01-31,0.16221054511631064
2008-02-29,0.14732818055577468
2008-03-31,0.1453364906286111
2008-04-30,0.19260528995481058
2008-05-31,0.24287244798185048
2008-06-30,0.24273218322005008
2008-07-31,0.23708287818193194
2008-08-31,0.2859726980234546
2008-09-30,0.27743027514884566
2008-10-31,0.28232499400841826
2008-11-30,0.2514207215334209
2008-12-31,0.2049584107829968
2009-01-31,0.17130251660453666
2009-02-28,0.15861573194186396
2009-03-31,0.15335652822515428
2009-04-30,0.20884847540663748
2009-05-31,0.21910075448607452
2009-06-30,0.20731630049854383
2009-07-31,0.23872126455769088
2009-08-31,0.28328234248896866
2009-09-30,0.2763506867494936
2009-10-31,0.2863958436698854
2009-11-30,0.2358464815471728
2009-12-31,0.192461706375038
2010-01-31,0.16654182520574712
2010-02-28,0.15766495145530618
2010-03-31,0.20702504830869697
2010-04-30,0.2317819449731922
2010-05-31,0.25420936797413113
2010-06-30,0.24882828951948927
2010-07-31,0.2558050165828569
2010-08-31,0.28810735164112555
2010-09-30,0.2898223603763852
2010-10-31,0.26500903810316645
2010-11-30,0.23225436068281718
2010-12-31,0.18495098951579975
2011-01-31,0.1616641134081243
2011-02-28,0.14810226665004206
2011-03-31,0.15156347577591714
2011-04-30,0.16824321527339875
2011-05-31,0.23182594119268174
2011-06-30,0.2601921529223472
2011-07-31,0.2587786531321014
2011-08-31,0.2872931846068335
2011-09-30,0.2948066277289845
2011-10-31,0.28685917287653256
2011-11-30,0.261479907003058
2011-12-31,0.22562073369348
2012-01-31,0.17896558231294696
2012-02-29,0.15219210395474503
2012-03-31,0.14531743650602644
2012-04-30,0.18898134624370821
2012-05-31,0.2380865745943114
2012-06-30,0.2350095738911533
2012-07-31,0.26243822804938166
2012-08-31,0.3015070065366554
2012-09-30,0.30222169719941205
2012-10-31,0.27866869591559773
2012-11-30,0.25348240301270186
2012-12-31,0.20982045764391627
2013-01-31,0.1734172028169053
2013-02-28,0.1548078020144686
2013-03-31,0.17452763279718686
2013-04-30,0.241232953163931
2013-05-31,0.2439969010465164
2013-06-30,0.23712525802944723
2013-07-31,0.2566982247329648
2013-08-31,0.3068992150197214
2013-09-30,0.2970614491869281
2013-10-31,0.2933303364679798
2013-11-30,0.27225638456076734
2013-12-31,0.21683151728424468
2014-01-31,0.1745697807529318
2014-02-28,0.1590870717250522
2014-03-31,0.17543155163591828
2014-04-30,0.23133898206963777
2014-05-31,0.2663310458930558
2014-06-30,0.2381515182213244
2014-07-31,0.2394732626104741
2014-08-31,0.28157522195061957
