,NDVI
2000-02-29,0.15460533209353075
2000-03-31,0.15787565305218262
2000-04-30,0.16084103364462202
2000-05-31,0.17184176664380274
2000-06-30,0.20398335522982006
2000-07-31,0.25631598408797346
2000-08-31,0.3042913141253841
2000-09-30,0.2726862783545175
2000-10-31,0.22488020798970115
2000-11-30,0.19439415679484648
2000-12-31,0.17720486467042157
2001-01-31,0.16076742378551445
2001-02-28,0.15336109867156378
2001-03-31,0.15434803957727444
2001-04-30,0.15422202254666215
2001-05-31,0.16406112650763685
2001-06-30,0.20429416823010815
2001-07-31,0.26108741319755624
2001-08-31,0.3132808038089183
2001-09-30,0.28254593713998855
2001-10-31,0.24438530264363365
2001-11-30,0.21100763675076234
2001-12-31,0.18734687636510616
2002-01-31,0.16887848197824146
2002-02-28,0.16150754324927236
2002-03-31,0.15603047938693426
2002-04-30,0.16224082217094787
2002-05-31,0.16550750632857286
2002-06-30,0.20227985418803215
2002-07-31,0.25236018128878834
2002-08-31,0.30980956786840685
2002-09-30,0.27386153561304405
2002-10-31,0.24451814012075182
2002-11-30,0.20717034234741105
2002-12-31,0.17907972116968232
2003-01-31,0.16268830091284364
2003-02-28,0.15330810962887562
2003-03-31,0.1505643898857692
2003-04-30,0.15430970599164723
2003-05-31,0.16551463589448331
2003-06-30,0.22040635750359006
2003-07-31,0.2830536151706833
2003-08-31,0.3041820022772735
2003-09-30,0.27787541631463264
2003-10-31,0.24606512348835485
2003-11-30,0.21036684871433775
2003-12-31,0.18538835704137546
2004-01-31,0.16592897798834777
2004-02-29,0.1555337666238727
2004-03-31,0.14818913389979224
2004-04-30,0.15923274181170674
2004-05-31,0.1691095033243447
2004-06-30,0.21850303367831447
2004-07-31,0.272849830487584
2004-08-31,0.3073817102061784
2004-09-30,0.2681857282576925
2004-10-31,0.22697506836628567
2004-11-30,0.19459222095005096
2004-12-31,0.17654085746159384
2005-01-31,0.15807830885715338
2005-02-28,0.15177591272651292
2005-03-31,0.15132656933691607
2005-04-30,0.15461846828918452
2005-05-31,0.16497180729372907
2005-06-30,0.21213453495029763
2005-07-31,0.28454432709853444
2005-08-31,0.31589892192867763
2005-09-30,0.28731279465949133
2005-10-31,0.24564375046370612
2005-11-30,0.2135105836476497
2005-12-31,0.18666754348101194
2006-01-31,0.1668447432606215
2006-02-28,0.15769766821537104
2006-03-31,0.1544342080575267
2006-04-30,0.15712112329096006
2006-05-31,0.1826667426372744
2006-06-30,0.2084123837575366
2006-07-31,0.2547088452034408
2006-08-31,0.30647474088031557
2006-09-30,0.28569593965419326
2006-10-31,0.24823610194833312
2006-11-30,0.21119894579698795
2006-12-31,0.18209183693724695
2007-01-31,0.16473045097449354
2007-02-28,0.1565090245421828
2007-03-31,0.15296547174482625
2007-04-30,0.16065592789124822
2007-05-31,0.17646815939617505
2007-06-30,0.21190247259299677
2007-07-31,0.26570999992984157
2007-08-31,0.3283981918955625
2007-09-30,0.2863959087379405
2007-10-31,0.24458037446978997
2007-11-30,0.2143933593006513
2007-12-31,0.1864674404999061
2008-01-31,0.17021665379497916
2008-02-29,0.15943868776360828
2008-03-31,0.15710815408255036
2008-04-30,0.1654722886538328
2008-05-31,0.17994981315329756
2008-06-30,0.21533315720445645
2008-07-31,0.26636447368169014
2008-08-31,0.3029916880798589
2008-09-30,0.28115595187757425
2008-10-31,0.22888621918374985
2008-11-30,0.19672339848613143
2008-12-31,0.18006601590447002
2009-01-31,0.16405098041365035
2009-02-28,0.15597404793148137
2009-03-31,0.1528463164333368
2009-04-30,0.16175846016200282
2009-05-31,0.16915307382610245
2009-06-30,0.19242125558916637
2009-07-31,0.25592870069226936
2009-08-31,0.30082526394303266
2009-09-30,0.27000381063257756
2009-10-31,0.2340417233652121
2009-11-30,0.20495199811671244
2009-12-31,0.17917857579869012
2010-01-31,0.16337093681925155
2010-02-28,0.15470582622721646
2010-03-31,0.1505284311419416
2010-04-30,0.15328967597445045
2010-05-31,0.16089863497480253
2010-06-30,0.19868258573683173
2010-07-31,0.26375101596403505
2010-08-31,0.326382999163652
2010-09-30,0.29969959416822545
2010-10-31,0.26561739185809113
2010-11-30,0.22765727556795162
2010-12-31,0.1976578901755
2011-01-31,0.1753034730698398
2011-02-28,0.16301171302228226
2011-03-31,0.15821499100795733
2011-04-30,0.1612258632138777
2011-05-31,0.17474506207649465
2011-06-30,0.2044311337882594
2011-07-31,0.2543158103164689
2011-08-31,0.30629776444864865
2011-09-30,0.28283200891996707
2011-10-31,0.24379514305373043
2011-11-30,0.21360224278316348
2011-12-31,0.18387461695092683
2012-01-31,0.16482344830555654
2012-02-29,0.15393872171523534
2012-03-31,0.150708350664064
2012-04-30,0.15471785400527327
2012-05-31,0.176302314963827
2012-06-30,0.22393617168680346
2012-07-31,0.29700197731274147
2012-08-31,0.3197859521771125
2012-09-30,0.2946026709853684
2012-10-31,0.24682207806738765
2012-11-30,0.21239896047641182
2012-12-31,0.19416154399853028
2013-01-31,0.1750865562564879
2013-02-28,0.16264605207136737
2013-03-31,0.16478933838033769
2013-04-30,0.16829378788832425
2013-05-31,0.17825419515152896
2013-06-30,0.21962257924866613
2013-07-31,0.2577366007123204
2013-08-31,0.3171990867171979
2013-09-30,0.29216101545614687
2013-10-31,0.2504270341071757
2013-11-30,0.21835001764432335
2013-12-31,0.18856018377766304
2014-01-31,0.17333552606172403
2014-02-28,0.1632711172379448
2014-03-31,0.16177689578423254
2014-04-30,0.16868137446692738
2014-05-31,0.1830564448968824
2014-06-30,0.2034964642132588
2014-07-31,0.2532358044108791
2014-08-31,0.3168267303730425
2014-09-30,0.29252175847036793
2014-10-31,0.2551991427266247
2014-11-30,0.21427581966356368
2014-12-31,0.1877330332730954
2015-01-31,0.16689773040890654
2015-02-28,0.1594118127089968
2015-03-31,0.15336743176350365
2015-04-30,0.15485050586462937
2015-05-31,0.16542020862006113
2015-06-30,0.1976706948361397
2015-07-31,0.2539978556369817
2015-08-31,0.3101382261218882
2015-09-30,0.28546403834924383
2015-10-31,0.2515913399229089
2015-11-30,0.21322160600040369
2015-12-31,0.180594211648333
