,NDVI
2000-02-29,0.320587956745517
2000-03-31,0.322793517862901
2000-04-30,0.30950836247607194
2000-05-31,0.2610393808400756
2000-06-30,0.21993870002295257
2000-07-31,0.19951585285291717
2000-08-31,0.18330575688077227
2000-09-30,0.18066384878080832
2000-10-31,0.1847455959769538
2000-11-30,0.18225489506598
2000-12-31,0.19881027296298137
2001-01-31,0.20587571865272014
2001-02-28,0.24756647044782087
2001-03-31,0.30240243123161026
2001-04-30,0.32242006154285363
2001-05-31,0.27998624892686147
2001-06-30,0.23855958386938114
2001-07-31,0.1989588183249391
2001-08-31,0.18497387868656856
2001-09-30,0.1795874071386605
2001-10-31,0.18074642669347984
2001-11-30,0.19160169109791864
2001-12-31,0.21885851095048386
2002-01-31,0.21710837530388444
2002-02-28,0.2518230093689058
2002-03-31,0.31933520520084346
2002-04-30,0.2729037860917084
2002-05-31,0.2240327545441748
2002-06-30,0.19736845400333888
2002-07-31,0.18116223270979898
2002-08-31,0.17338409180491268
2002-09-30,0.1659677424868023
2002-10-31,0.16774247968728304
2002-11-30,0.18043263047259095
2002-12-31,0.22009444166922837
2003-01-31,0.2276381304544955
2003-02-28,0.2711003992926864
2003-03-31,0.24392357536141016
2003-04-30,0.22126666364823167
2003-05-31,0.20232445426949175
2003-06-30,0.18503228615726802
2003-07-31,0.1710720210220428
2003-08-31,0.16506391453084515
2003-09-30,0.16417646096153699
2003-10-31,0.1578634933600223
2003-11-30,0.17421912918059712
2003-12-31,0.20541249029035102
2004-01-31,0.25136395560518965
2004-02-29,0.2802745967971603
2004-03-31,0.2905679472298598
2004-04-30,0.2692341021119531
2004-05-31,0.2232996480329889
2004-06-30,0.19675185842285037
2004-07-31,0.18220904266257484
2004-08-31,0.1731394282218398
2004-09-30,0.16873061250648436
2004-10-31,0.17709509212867622
2004-11-30,0.21438043050779834
2004-12-31,0.2206429495461725
2005-01-31,0.23775756647440915
2005-02-28,0.2713136557033215
2005-03-31,0.27747530418170696
2005-04-30,0.2733022364598661
2005-05-31,0.22419139696654006
2005-06-30,0.19599139283920408
2005-07-31,0.1789645714479185
2005-08-31,0.17233078187954531
2005-09-30,0.16318410356878604
2005-10-31,0.1628818578740581
2005-11-30,0.16999660000256872
2005-12-31,0.21509962138816435
2006-01-31,0.2683719924420017
2006-02-28,0.35515435985457
2006-03-31,0.36912206840112965
2006-04-30,0.339800358626258
2006-05-31,0.28836318919346476
2006-06-30,0.24047400767002128
2006-07-31,0.21507363299064952
2006-08-31,0.1979540506009576
2006-09-30,0.194298188903236
2006-10-31,0.2120213043382719
2006-11-30,0.23510775978030113
2006-12-31,0.25054106695536715
2007-01-31,0.2554704934642494
2007-02-28,0.2689581383816284
2007-03-31,0.26714671245698124
2007-04-30,0.24574948517640555
2007-05-31,0.2123342912665843
2007-06-30,0.192280894462321
2007-07-31,0.17974226144087924
2007-08-31,0.17505661009608323
2007-09-30,0.16792761622413407
2007-10-31,0.1712363651856675
2007-11-30,0.17949716718011804
2007-12-31,0.2007255686391271
2008-01-31,0.22380606840117617
2008-02-29,0.3146211112725316
2008-03-31,0.3683137114006612
2008-04-30,0.3199653812278298
2008-05-31,0.2628691367879369
2008-06-30,0.22846474898299704
2008-07-31,0.20291263492546996
2008-08-31,0.19163880788246263
2008-09-30,0.18234558228932662
2008-10-31,0.18956096249216378
2008-11-30,0.22190183622203313
2008-12-31,0.2711944469131873
2009-01-31,0.27170749252230936
2009-02-28,0.3405502020656629
2009-03-31,0.3647964214187888
2009-04-30,0.30223643238960574
2009-05-31,0.25653633728284564
2009-06-30,0.22603773723260234
2009-07-31,0.20285260147173861
2009-08-31,0.18783434907872726
2009-09-30,0.18970291202999479
2009-10-31,0.21047023823093294
2009-11-30,0.21282054366373543
2009-12-31,0.22675857213489709
2010-01-31,0.28912222084075573
2010-02-28,0.31473622197024387
2010-03-31,0.3160074973565856
2010-04-30,0.29909546555684546
2010-05-31,0.259277119810871
2010-06-30,0.21757918741263563
2010-07-31,0.19532549343252875
2010-08-31,0.18571963033643285
2010-09-30,0.181489893169493
2010-10-31,0.18251939750556528
2010-11-30,0.19591239977272124
2010-12-31,0.2700639897012158
2011-01-31,0.3178697298544346
2011-02-28,0.3780747139061519
2011-03-31,0.39006948357725973
2011-04-30,0.3701154063377993
2011-05-31,0.32220960409718585
2011-06-30,0.25100197885611497
2011-07-31,0.22243529610756346
2011-08-31,0.2076959601064711
2011-09-30,0.21094045061377203
2011-10-31,0.21923904191067667
2011-11-30,0.22463353921272344
2011-12-31,0.2748087430560613
2012-01-31,0.2951428020605439
2012-02-29,0.3495368089941053
2012-03-31,0.3515774494918247
2012-04-30,0.3137005134390183
2012-05-31,0.2618543497669103
2012-06-30,0.22877386594398808
2012-07-31,0.20567745710170704
2012-08-31,0.1942958308257235
2012-09-30,0.18844149086644096
2012-10-31,0.19943773226608655
2012-11-30,0.2155045754299883
2012-12-31,0.2566765743213088
2013-01-31,0.27297026952175196
2013-02-28,0.2609316691523541
2013-03-31,0.24948203459821194
2013-04-30,0.23975277013638338
2013-05-31,0.21944558143269885
2013-06-30,0.20308591374786372
2013-07-31,0.19027494828010177
2013-08-31,0.18177399348688136
2013-09-30,0.17560674729527592
2013-10-31,0.17286553298804636
2013-11-30,0.1770813887419696
2013-12-31,0.24553445897348833
2014-01-31,0.2781747404219871
2014-02-28,0.33013317287450616
2014-03-31,0.35587175971040763
2014-04-30,0.3305635200894943
2014-05-31,0.2727830396260839
2014-06-30,0.22375429360906562
2014-07-31,0.20196976216267187
2014-08-31,0.1893145026169562
