,NDVI
2010-01-31,0.23553017689743427
2010-02-28,0.27273541679427893
2010-03-31,0.29056334565475844
2010-04-30,0.2516228615307124
2010-05-31,0.20467670853506453
2010-06-30,0.1831223905806276
2010-07-31,0.17032280302346514
2010-08-31,0.1728175410038626
2010-09-30,0.17693352871898566
2010-10-31,0.19221770076405878
2010-11-30,0.2116391522834807
2010-12-31,0.25243290195853685
2011-01-31,0.2672022966869332
2011-02-28,0.27083115919442
2011-03-31,0.2679207260459221
2011-04-30,0.23308713216508797
2011-05-31,0.21384590704733691
2011-06-30,0.19123969538553143
2011-07-31,0.17462197478891422
2011-08-31,0.17272218933157252
2011-09-30,0.174046893098802
2011-10-31,0.1783804223337424
2011-11-30,0.20428161943991402
2011-12-31,0.23421552755349134
2012-01-31,0.23964958456302254
2012-02-29,0.2393042952376285
2012-03-31,0.22671747633790446
2012-04-30,0.22028739623926258
2012-05-31,0.193377497308861
2012-06-30,0.1681459268145041
2012-07-31,0.16096059538184387
2012-08-31,0.16121905400302106
2012-09-30,0.16766632989400315
2012-10-31,0.20650018022524302
2012-11-30,0.24035845592382088
2012-12-31,0.26008679848590854
2013-01-31,0.268144390850962
2013-02-28,0.2693441718586206
2013-03-31,0.28126421577081395
2013-04-30,0.24630433507153643
2013-05-31,0.20287196630417514
2013-06-30,0.17735272132108632
2013-07-31,0.17162257177959467
2013-08-31,0.1704278131110152
2013-09-30,0.1762247101060381
2013-10-31,0.17705249409063026
2013-11-30,0.18395324287039072
2013-12-31,0.20033205346745042
2014-01-31,0.2162739523617287
2014-02-28,0.24408741664027822
2014-03-31,0.2522821325249064
2014-04-30,0.23199213982740688
2014-05-31,0.18710309414893136
2014-06-30,0.16914595813700084
2014-07-31,0.16036108686496356
2014-08-31,0.15669119294917136
2014-09-30,0.164510734036239
2014-10-31,0.17065433842693525
2014-11-30,0.1879100981650774
2014-12-31,0.2352014317994242
2015-01-31,0.259135747466709
2015-02-28,0.2840996328944007
2015-03-31,0.28132895477968556
2015-04-30,0.25322300116693586
2015-05-31,0.2038045631193362
2015-06-30,0.18411447604240738
2015-07-31,0.173382492036034
2015-08-31,0.17424137354043673
2015-09-30,0.17751319324983564
2015-10-31,0.19305779774095952
2015-11-30,0.2023624892891631
2015-12-31,0.20746383095817816
2016-01-31,0.20506053568080745
2016-02-29,0.19820716427621665
2016-03-31,0.20763990528265575
2016-04-30,0.21352791457020734
2016-05-31,0.18800814283915862
2016-06-30,0.16933378519815062
2016-07-31,0.1586693497052285
2016-08-31,0.15953664411821267
2016-09-30,0.16335027563383897
2016-10-31,0.17522081407056037
2016-11-30,0.1927773344145165
2016-12-31,0.2238792451995727
2017-01-31,0.2500810002905958
2017-02-28,0.2790876848251892
2017-03-31,0.2717969616207646
2017-04-30,0.22120875568425724
2017-05-31,0.18663245162822625
2017-06-30,0.16920613560436576
2017-07-31,0.1618778383941517
2017-08-31,0.16209254899316172
2017-09-30,0.16625465145012824
2017-10-31,0.1759730136722934
2017-11-30,0.17897590721671058
2017-12-31,0.19528221535966706
2018-01-31,0.2210547978290043
2018-02-28,0.24590041288704156
2018-03-31,0.27640773244440353
2018-04-30,0.25414383649319183
2018-05-31,0.22084931069291525
2018-06-30,0.19114778657616596
2018-07-31,0.17337709672360774
2018-08-31,0.17597236748930994
2018-09-30,0.18508994760399416
2018-10-31,0.2060515973527837
2018-11-30,0.23300186293301373
2018-12-31,0.26950759742376507
2019-01-31,0.26618063861211466
2019-02-28,0.2532210664730452
2019-03-31,0.2341781816280859
2019-04-30,0.21865966163514167
2019-05-31,0.19086955062106234
2019-06-30,0.17434941184239588
2019-07-31,0.16460012314999875
2019-08-31,0.16851981403595187
2019-09-30,0.17055336540671018
2019-10-31,0.1785015213390553
2019-11-30,0.1935944857524154
2019-12-31,0.2278521969200417
2020-01-31,0.24770202284636123
2020-02-29,0.24478659210436926
2020-03-31,0.2206308651655055
2020-04-30,0.21083438205811167
2020-05-31,0.19557900955723295
2020-06-30,0.17579445456210988
2020-07-31,0.16536337188509653
2020-08-31,0.16533852723898868
2020-09-30,0.1691829630330554
2020-10-31,0.17628918560942286
2020-11-30,0.1873884685436089
2020-12-31,0.2117537727896297
2021-01-31,0.24533075937636611
2021-02-28,0.2687712707585984
2021-03-31,0.2746525044229786
2021-04-30,0.23195948267934108
2021-05-31,0.2002718711960918
2021-06-30,0.1779809876898126
2021-07-31,0.16702809349524522
2021-08-31,0.166960571761596
2021-09-30,0.1719768977617917
2021-10-31,0.17142633146130656
2021-11-30,0.17798717448959722
2021-12-31,0.1954327896292538
